state,action,supervisor_action
12121212,left,left
12121212,up,up
12121222,up,right
12121212,right,right
12121212,down,down
12121222,down,left
12121212,left,left
12121212,up,up
12121222,right,right
12121222,down,down
12121212,left,left
12121212,up,up
12121222,up,right
12121212,right,right
12121212,down,down
12121222,down,left
12121212,left,left
12121212,up,up
12121222,right,right
12121222,down,down
12121212,left,left
12121212,up,up
12121222,up,right
12121212,right,right
12121212,down,down
12121222,down,left
12121212,left,left
12121212,up,up
12121222,right,right
12121222,down,down
12121212,left,left
12121212,up,up
12121222,up,right
12121212,right,right
12121212,down,down
12121222,down,left
12121212,left,left
12121212,up,up
12121222,right,right
12121222,down,down
12121212,left,left
12121212,up,up
12121222,up,right
12121212,right,right
12121212,down,down
12121222,down,left
12121212,left,left
12121212,up,up
12121222,right,right
12121222,down,down
12121212,left,left
12121212,up,up
12121222,up,right
12121212,right,right
12121212,down,down
12121222,down,left
12121212,left,left
12121212,up,up
12121222,right,right
12121222,down,down
12121212,left,left
12121212,up,up
12121222,up,right
12121212,right,right
12121212,down,down
12121222,down,left
12121212,left,left
12121212,up,up
12121222,right,right
12121222,down,down
12121212,left,left
12121212,up,up
12121222,up,right
12121212,right,right
12121212,down,down
12121222,down,left
12121212,left,left
12121212,up,up
12121222,right,right
12121222,down,down
12121212,left,left
12121212,up,up
12121222,up,right
12121212,right,right
12121212,down,down
12121222,down,left
12121212,left,left
12121212,up,up
12121222,right,right
12121222,down,down
12121212,left,left
12121212,up,up
12121222,up,right
12121212,right,right
12121212,down,down
12121222,down,left
12121212,left,left
12121212,up,up
12121222,right,right
12121222,down,down
12121212,left,left
12121212,up,up
12121222,up,right
12121212,right,right
12121212,down,down
12121222,down,left
12121212,left,left
12121212,up,up
12121222,right,right
12121222,down,down
12121212,left,left
12121212,up,up
12121222,up,right
12121212,right,right
12121212,down,down
12121222,down,left
12121212,left,left
12121212,up,up
12121222,right,right
12121222,down,down
12121212,left,left
12121212,up,up
12121222,up,right
12121212,right,right
12121212,down,down
12121222,down,left
12121212,left,left
12121212,up,up
12121222,right,right
12121222,down,down
12121212,left,left
12121212,up,up
12121222,up,right
12121212,right,right
12121212,down,down
12121222,down,left
12121212,left,left
12121212,up,up
12121222,right,right
12121222,down,down
12121212,left,left
12121212,up,up
12121222,up,right
12121212,right,right
12121212,down,down
12121222,down,left
12121212,left,left
12121212,up,up
12121222,right,right
12121222,down,down
12121212,left,left
12121212,up,up
12121222,up,right
12121212,right,right
12121212,down,down
12121222,down,left
12121212,left,left
12121212,up,up
12121222,right,right
12121222,down,down
12121212,left,left
12121212,up,up
12121222,up,right
12121212,right,right
12121212,down,down
12121222,down,left
12121212,left,left
12121212,up,up
12121222,right,right
12121222,down,down
12121212,left,left
12121212,up,up
12121222,up,right
12121212,right,right
12121212,down,down
12121222,down,left
12121212,left,left
12121212,up,up
12121222,right,right
12121222,down,down
12121212,left,left
12121212,up,up
12121222,up,right
12121212,right,right
12121212,down,down
12121222,down,left
12121212,left,left
12121212,up,up
12121222,right,right
12121222,down,down
12121212,left,left
12121212,up,up
12121222,up,right
12121212,right,right
12121212,down,down
12121222,down,left
12121212,left,left
12121212,up,up
12121222,right,right
12121222,down,down
12121212,left,left
12121212,up,up
12121222,up,right
12121212,right,right
12121212,down,down
12121222,down,left
12121212,left,left
12121212,up,up
12121222,right,right
12121222,down,down
12121212,left,left
12121212,up,up
12121222,up,right
12121212,right,right
12121212,down,down
12121222,down,left
12121212,left,left
12121212,up,up
12121222,right,right
12121222,down,down
12121212,left,left
12121212,up,up
12121222,up,right
12121212,right,right
12121212,down,down
12121222,down,left
12121212,left,left
12121212,up,up
12121222,right,right
12121222,down,down
12121212,left,left
12121212,up,up
12121222,up,right
12121212,right,right
12121212,down,down
12121222,down,left
12121212,left,left
12121212,up,up
12121222,right,right
12121222,down,down
12121212,left,left
12121212,up,up
12121222,up,right
12121212,right,right
12121212,down,down
12121222,down,left
12121212,left,left
12121212,up,up
12121222,right,right
12121222,down,down
12121212,left,left
12121212,up,up
12121222,up,right
12121212,right,right
12121212,down,down
12121222,down,left
12121212,left,left
12121212,up,up
12121222,right,right
12121222,down,down
12121212,left,left
12121212,up,up
12121222,up,right
12121212,right,right
12121212,down,down
12121222,down,left
12121212,left,left
12121212,up,up
12121222,right,right
12121222,down,down
12121212,left,left
12121212,up,up
12121222,up,right
12121212,right,right
12121212,down,down
12121222,down,left
12121212,left,left
12121212,up,up
12121222,right,right
12121222,down,down
12121212,left,left
12121212,up,up
12121222,up,right
12121212,right,right
12121212,down,down
12121222,down,left
12121212,left,left
12121212,up,up
12121222,right,right
12121222,down,down
12121212,left,left
12121212,up,up
12121222,up,right
12121212,right,right
12121212,down,down
12121222,down,left
12121212,left,left
12121212,up,up
12121222,right,right
12121222,down,down
12121212,left,left
12121212,up,up
12121222,up,right
12121212,right,right
12121212,down,down
12121222,down,left
12121212,left,left
12121212,up,up
12121222,right,right
12121222,down,down
12121212,left,left
12121212,up,up
12121222,up,right
12121212,right,right
12121212,down,down
12121222,down,left
12121212,left,left
12121212,up,up
12121222,right,right
12121222,down,down
12121212,left,left
12121212,up,up
12121222,up,right
12121212,right,right
12121212,down,down
12121222,down,left
12121212,left,left
12121212,up,up
12121222,right,right
12121222,down,down
12121212,left,left
12121212,up,up
12121222,up,right
12121212,right,right
12121212,down,down
12121222,down,left
12121212,left,left
12121212,up,up
12121222,right,right
12121222,down,down
12121212,left,left
12121212,up,up
12121222,up,right
12121212,right,right
12121212,down,down
12121222,down,left
12121212,left,left
12121212,up,up
12121222,right,right
12121222,down,down
12121212,left,left
12121212,up,up
12121222,up,right
12121212,right,right
12121212,down,down
12121222,down,left
12121212,left,left
12121212,up,up
12121222,right,right
12121222,down,down
12121212,left,left
12121212,up,up
12121222,up,right
12121212,right,right
12121212,down,down
12121222,down,left
12121212,left,left
12121212,up,up
12121222,right,right
12121222,down,down
12121212,left,left
12121212,up,up
12121222,up,right
12121212,right,right
12121212,down,down
12121222,down,left
12121212,left,left
12121212,up,up
12121222,right,right
12121222,down,down
12121212,left,left
12121212,up,up
12121222,up,right
12121212,right,right
12121212,down,down
12121222,down,left
12121212,left,left
12121212,up,up
12121222,right,right
12121222,down,down
12121212,left,left
12121212,up,up
12121222,up,right
12121212,right,right
12121212,down,down
12121222,down,left
12121212,left,left
12121212,up,up
12121222,right,right
12121222,down,down
12121212,left,left
12121212,up,up
12121222,up,right
12121212,right,right
12121212,down,down
12121222,down,left
12121212,left,left
12121212,up,up
12121222,right,right
12121222,down,down
12121212,left,left
12121212,up,up
12121222,up,right
12121212,right,right
12121212,down,down
12121222,down,left
12121212,left,left
12121212,up,up
12121222,right,right
12121222,down,down
12121212,left,left
12121212,up,up
12121222,up,right
12121212,right,right
12121212,down,down
12121222,down,left
12121212,left,left
12121212,up,up
12121222,right,right
12121222,down,down
12121212,left,left
12121212,up,up
12121222,up,right
12121212,right,right
12121212,down,down
12121222,down,left
12121212,left,left
12121212,up,up
12121222,right,right
12121222,down,down
12121212,left,left
12121212,up,up
12121222,up,right
12121212,right,right
12121212,down,down
12121222,down,left
12121212,left,left
12121212,up,up
12121222,right,right
12121222,down,down
12121212,left,left
12121212,up,up
12121222,up,right
12121212,right,right
12121212,down,down
12121222,down,left
12121212,left,left
12121212,up,up
12121222,right,right
12121222,down,down
12121212,left,left
12121212,up,up
12121222,up,right
12121212,right,right
12121212,down,down
12121222,down,left
12121212,left,left
12121212,up,up
12121222,right,right
12121222,down,down
12121212,left,left
12121212,up,up
12121222,up,right
12121212,right,right
12121212,down,down
12121222,down,left
12121212,left,left
12121212,up,up
12121222,right,right
12121222,down,down
12121212,left,left
12121212,up,up
12121222,up,right
12121212,right,right
12121212,down,down
12121222,down,left
12121212,left,left
12121212,up,up
12121222,right,right
12121222,down,down
12121212,left,left
12121212,up,up
12121222,up,right
12121212,right,right
12121212,down,down
12121222,down,left
12121212,left,left
12121212,up,up
12121222,right,right
12121222,down,down
12121212,left,left
12121212,up,up
12121222,up,right
12121212,right,right
12121212,down,down
12121222,down,left
12121212,left,left
