state,action,supervisor_action
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11122212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111222,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
22121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121111,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12221211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
11121211,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11122212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11122212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111222,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
22121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121111,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12221211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
11121211,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11122212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11122212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111222,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
22121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121111,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12221211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
11121211,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11122212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11122212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111222,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
22121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121111,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12221211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
11121211,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11122212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11122212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111222,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
22121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121111,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12221211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
11121211,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11122212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11122212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111222,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
22121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121111,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12221211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
11121211,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11122212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11122212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111222,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
22121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121111,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12221211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
11121211,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11122212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11122212,right,right
11121212,right,right
11121212,right,right
