state,action,supervisor_action
12121212,down,left
12121212,left,left
12121211,up,up
12121211,right,right
12121212,down,down
12121212,left,left
12121211,up,up
12121211,up,right
12121211,right,right
12121212,down,down
12121212,down,left
12121212,left,left
12121211,up,up
12121211,right,right
12121212,down,down
12121212,left,left
12121211,up,up
12121211,up,right
12121211,right,right
12121212,down,down
12121212,down,left
12121212,left,left
12121211,up,up
12121211,right,right
12121212,down,down
12121212,left,left
12121211,up,up
12121211,up,right
12121211,right,right
12121212,down,down
12121212,down,left
12121212,left,left
12121211,up,up
12121211,right,right
12121212,down,down
12121212,left,left
12121211,up,up
12121211,up,right
12121211,right,right
12121212,down,down
12121212,down,left
12121212,left,left
12121211,up,up
12121211,right,right
12121212,down,down
12121212,left,left
12121211,up,up
12121211,up,right
12121211,right,right
12121212,down,down
12121212,down,left
12121212,left,left
12121211,up,up
12121211,right,right
12121212,down,down
12121212,left,left
12121211,up,up
12121211,up,right
12121211,right,right
12121212,down,down
12121212,down,left
12121212,left,left
12121211,up,up
12121211,right,right
12121212,down,down
12121212,left,left
12121211,up,up
12121211,up,right
12121211,right,right
12121212,down,down
12121212,down,left
12121212,left,left
12121211,up,up
12121211,right,right
12121212,down,down
12121212,left,left
12121211,up,up
12121211,up,right
12121211,right,right
12121212,down,down
12121212,down,left
12121212,left,left
12121211,up,up
12121211,right,right
12121212,down,down
12121212,left,left
12121211,up,up
12121211,up,right
12121211,right,right
12121212,down,down
12121212,down,left
12121212,left,left
12121211,up,up
12121211,right,right
12121212,down,down
12121212,left,left
12121211,up,up
12121211,up,right
12121211,right,right
12121212,down,down
12121212,down,left
12121212,left,left
12121211,up,up
12121211,right,right
12121212,down,down
12121212,left,left
12121211,up,up
12121211,up,right
12121211,right,right
12121212,down,down
12121212,down,left
12121212,left,left
12121211,up,up
12121211,right,right
12121212,down,down
12121212,left,left
12121211,up,up
12121211,up,right
12121211,right,right
12121212,down,down
12121212,down,left
12121212,left,left
12121211,up,up
12121211,right,right
12121212,down,down
12121212,left,left
12121211,up,up
12121211,up,right
12121211,right,right
12121212,down,down
12121212,down,left
12121212,left,left
12121211,up,up
12121211,right,right
12121212,down,down
12121212,left,left
12121211,up,up
12121211,up,right
12121211,right,right
12121212,down,down
12121212,down,left
12121212,left,left
12121211,up,up
12121211,right,right
12121212,down,down
12121212,left,left
12121211,up,up
12121211,up,right
12121211,right,right
12121212,down,down
12121212,down,left
12121212,left,left
12121211,up,up
12121211,right,right
12121212,down,down
12121212,left,left
12121211,up,up
12121211,up,right
12121211,right,right
12121212,down,down
12121212,down,left
12121212,left,left
12121211,up,up
12121211,right,right
12121212,down,down
12121212,left,left
12121211,up,up
12121211,up,right
12121211,right,right
12121212,down,down
12121212,down,left
12121212,left,left
12121211,up,up
12121211,right,right
12121212,down,down
12121212,left,left
12121211,up,up
12121211,up,right
12121211,right,right
12121212,down,down
12121212,down,left
12121212,left,left
12121211,up,up
12121211,right,right
12121212,down,down
12121212,left,left
12121211,up,up
12121211,up,right
12121211,right,right
12121212,down,down
12121212,down,left
12121212,left,left
12121211,up,up
12121211,right,right
12121212,down,down
12121212,left,left
12121211,up,up
12121211,up,right
12121211,right,right
12121212,down,down
12121212,down,left
12121212,left,left
12121211,up,up
12121211,right,right
12121212,down,down
12121212,left,left
12121211,up,up
12121211,up,right
12121211,right,right
12121212,down,down
12121212,down,left
12121212,left,left
12121211,up,up
12121211,right,right
12121212,down,down
12121212,left,left
12121211,up,up
12121211,up,right
12121211,right,right
12121212,down,down
12121212,down,left
12121212,left,left
12121211,up,up
12121211,right,right
12121212,down,down
12121212,left,left
12121211,up,up
12121211,up,right
12121211,right,right
12121212,down,down
12121212,down,left
12121212,left,left
12121211,up,up
12121211,right,right
12121212,down,down
12121212,left,left
12121211,up,up
12121211,up,right
12121211,right,right
12121212,down,down
12121212,down,left
12121212,left,left
12121211,up,up
12121211,right,right
12121212,down,down
12121212,left,left
12121211,up,up
12121211,up,right
12121211,right,right
12121212,down,down
12121212,down,left
12121212,left,left
