state,action,supervisor_action
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
12121211,up,down
11121211,down,down
