state,action,supervisor_action
12121212,up,right
11121212,up,down
11121212,right,down
11121212,right,down
11121212,right,left
11121212,down,left
12121212,down,left
12121212,down,up
12121212,left,up
12121212,left,right
12121212,left,right
12121212,up,down
12121212,up,down
12121212,right,left
12121212,right,left
12121212,down,up
12121212,down,up
12121212,left,up
12121212,left,right
12121212,up,right
12121212,up,right
12121212,up,down
11121212,up,down
11121212,right,down
11121212,right,left
11121212,right,left
11121212,down,left
12121212,down,up
12121212,down,up
12121212,left,right
12121212,left,right
12121212,left,down
12121212,up,down
12121212,up,left
12121212,right,left
12121212,right,up
12121212,down,up
12121212,down,up
12121212,left,right
12121212,left,right
12121212,up,right
12121212,up,down
12121212,up,down
11121212,up,down
11121212,right,left
11121212,right,left
11121212,right,left
11121212,down,up
12121212,down,up
12121212,down,right
12121212,left,right
12121212,left,down
12121212,left,down
12121212,up,left
12121212,up,left
12121212,right,up
12121212,right,up
12121212,down,up
12121212,down,right
12121212,left,right
12121212,left,right
12121212,up,down
12121212,up,down
12121212,up,down
11121212,up,left
11121212,right,left
11121212,right,left
11121212,right,up
11121212,down,up
12121212,down,right
12121212,down,right
12121212,left,down
12121212,left,down
12121212,left,left
12121212,up,left
12121212,up,up
12121212,right,up
12121212,right,up
12121212,down,right
12121212,down,right
12121212,left,right
12121212,left,down
12121212,up,down
12121212,up,down
12121212,up,left
11121212,up,left
11121212,right,left
11121212,right,up
11121212,right,up
11121212,down,right
12121212,down,right
12121212,down,down
12121212,left,down
12121212,left,left
12121212,left,left
12121212,up,up
12121212,up,up
12121212,right,up
12121212,right,right
12121212,down,right
12121212,down,right
12121212,left,down
12121212,left,down
12121212,up,down
12121212,up,left
12121212,up,left
11121212,up,left
11121212,right,up
11121212,right,up
11121212,right,right
11121212,down,right
12121212,down,down
12121212,down,down
12121212,left,left
12121212,left,left
12121212,left,up
12121212,up,up
12121212,up,up
12121212,right,right
12121212,right,right
12121212,down,right
12121212,down,down
12121212,left,down
12121212,left,down
12121212,up,left
12121212,up,left
12121212,up,left
11121212,up,up
11121212,right,up
11121212,right,right
11121212,right,right
11121212,down,down
12121212,down,down
12121212,down,left
12121212,left,left
12121212,left,up
12121212,left,up
12121212,up,up
12121212,up,right
12121212,right,right
12121212,right,right
12121212,down,down
12121212,down,down
12121212,left,down
12121212,left,left
12121212,up,left
12121212,up,left
12121212,up,up
11121212,up,up
11121212,right,right
11121212,right,right
11121212,right,down
11121212,down,down
12121212,down,left
12121212,down,left
12121212,left,up
12121212,left,up
12121212,left,up
12121212,up,right
12121212,up,right
12121212,right,right
12121212,right,down
12121212,down,down
12121212,down,down
12121212,left,left
12121212,left,left
12121212,up,left
12121212,up,up
12121212,up,up
11121212,up,right
11121212,right,right
11121212,right,down
11121212,right,down
11121212,down,left
12121212,down,left
12121212,down,up
12121212,left,up
12121212,left,up
12121212,left,right
12121212,up,right
12121212,up,right
12121212,right,down
12121212,right,down
12121212,down,down
12121212,down,left
12121212,left,left
12121212,left,left
12121212,up,up
12121212,up,up
12121212,up,right
11121212,up,right
11121212,right,down
11121212,right,down
11121212,right,left
11121212,down,left
12121212,down,up
12121212,down,up
12121212,left,up
12121212,left,right
12121212,left,right
12121212,up,right
12121212,up,down
12121212,right,down
12121212,right,down
12121212,down,left
12121212,down,left
12121212,left,left
12121212,left,up
12121212,up,up
12121212,up,right
12121212,up,right
11121212,up,down
11121212,right,down
11121212,right,left
11121212,right,left
11121212,down,up
12121212,down,up
12121212,down,up
12121212,left,right
12121212,left,right
12121212,left,right
12121212,up,down
12121212,up,down
12121212,right,down
12121212,right,left
12121212,down,left
12121212,down,left
12121212,left,up
12121212,left,up
12121212,up,right
12121212,up,right
12121212,up,down
11121212,up,down
11121212,right,left
11121212,right,left
11121212,right,up
11121212,down,up
12121212,down,up
12121212,down,right
12121212,left,right
12121212,left,right
12121212,left,down
12121212,up,down
12121212,up,down
12121212,right,left
12121212,right,left
12121212,down,left
12121212,down,up
12121212,left,up
12121212,left,right
12121212,up,right
12121212,up,down
12121212,up,down
11121212,up,left
11121212,right,left
11121212,right,up
11121212,right,up
11121212,down,up
12121212,down,right
12121212,down,right
12121212,left,right
12121212,left,down
12121212,left,down
12121212,up,down
12121212,up,left
12121212,right,left
12121212,right,left
12121212,down,up
12121212,down,up
12121212,left,right
12121212,left,right
12121212,up,down
12121212,up,down
12121212,up,left
11121212,up,left
11121212,right,up
11121212,right,up
11121212,right,up
11121212,down,right
12121212,down,right
12121212,down,right
12121212,left,down
12121212,left,down
12121212,left,down
12121212,up,left
12121212,up,left
12121212,right,left
12121212,right,up
12121212,down,up
12121212,down,right
12121212,left,right
12121212,left,down
12121212,up,down
12121212,up,left
12121212,up,left
11121212,up,up
11121212,right,up
11121212,right,up
11121212,right,right
11121212,down,right
12121212,down,right
12121212,down,down
12121212,left,down
12121212,left,down
12121212,left,left
12121212,up,left
12121212,up,left
12121212,right,up
12121212,right,up
12121212,down,right
12121212,down,right
12121212,left,down
12121212,left,down
12121212,up,left
12121212,up,left
12121212,up,up
11121212,up,up
11121212,right,up
11121212,right,right
11121212,right,right
11121212,down,right
12121212,down,down
12121212,down,down
12121212,left,down
12121212,left,left
12121212,left,left
12121212,up,left
12121212,up,up
12121212,right,up
12121212,right,right
12121212,down,right
12121212,down,down
12121212,left,down
12121212,left,left
12121212,up,left
12121212,up,up
12121212,up,up
11121212,up,up
11121212,right,right
11121212,right,right
11121212,right,right
11121212,down,down
12121212,down,down
12121212,down,down
12121212,left,left
12121212,left,left
12121212,left,left
12121212,up,up
12121212,up,up
12121212,right,right
12121212,right,right
12121212,down,down
12121212,down,down
12121212,left,left
12121212,left,left
12121212,up,up
12121212,up,up
12121212,up,up
11121212,up,right
11121212,right,right
11121212,right,right
11121212,right,down
11121212,down,down
12121212,down,down
12121212,down,left
12121212,left,left
12121212,left,left
12121212,left,up
12121212,up,up
12121212,up,right
12121212,right,right
12121212,right,down
12121212,down,down
12121212,down,left
12121212,left,left
12121212,left,up
12121212,up,up
12121212,up,up
12121212,up,right
11121212,up,right
11121212,right,right
11121212,right,down
11121212,right,down
11121212,down,down
12121212,down,left
12121212,down,left
12121212,left,left
12121212,left,up
12121212,left,up
12121212,up,right
12121212,up,right
12121212,right,down
12121212,right,down
12121212,down,left
12121212,down,left
12121212,left,up
12121212,left,up
12121212,up,up
12121212,up,right
12121212,up,right
11121212,up,right
11121212,right,down
11121212,right,down
11121212,right,down
11121212,down,left
12121212,down,left
12121212,down,left
12121212,left,up
12121212,left,up
12121212,left,right
12121212,up,right
12121212,up,down
12121212,right,down
12121212,right,left
12121212,down,left
12121212,down,up
12121212,left,up
12121212,left,up
12121212,up,right
12121212,up,right
12121212,up,right
11121212,up,down
11121212,right,down
11121212,right,down
11121212,right,left
11121212,down,left
12121212,down,left
12121212,down,up
12121212,left,up
12121212,left,right
12121212,left,right
12121212,up,down
12121212,up,down
12121212,right,left
12121212,right,left
12121212,down,up
12121212,down,up
12121212,left,up
12121212,left,right
12121212,up,right
12121212,up,right
12121212,up,down
11121212,up,down
11121212,right,down
11121212,right,left
11121212,right,left
11121212,down,left
12121212,down,up
12121212,down,up
12121212,left,right
12121212,left,right
12121212,left,down
12121212,up,down
12121212,up,left
12121212,right,left
12121212,right,up
12121212,down,up
12121212,down,up
12121212,left,right
12121212,left,right
12121212,up,right
12121212,up,down
12121212,up,down
11121212,up,down
11121212,right,left
11121212,right,left
11121212,right,left
11121212,down,up
12121212,down,up
12121212,down,right
12121212,left,right
12121212,left,down
12121212,left,down
12121212,up,left
12121212,up,left
12121212,right,up
12121212,right,up
12121212,down,up
12121212,down,right
12121212,left,right
12121212,left,right
12121212,up,down
12121212,up,down
12121212,up,down
11121212,up,left
11121212,right,left
11121212,right,left
11121212,right,up
11121212,down,up
12121212,down,right
12121212,down,right
12121212,left,down
12121212,left,down
12121212,left,left
12121212,up,left
12121212,up,up
12121212,right,up
12121212,right,up
12121212,down,right
12121212,down,right
12121212,left,right
12121212,left,down
12121212,up,down
12121212,up,down
12121212,up,left
11121212,up,left
11121212,right,left
11121212,right,up
11121212,right,up
11121212,down,right
12121212,down,right
12121212,down,down
12121212,left,down
12121212,left,left
12121212,left,left
12121212,up,up
12121212,up,up
12121212,right,up
12121212,right,right
12121212,down,right
12121212,down,right
12121212,left,down
12121212,left,down
12121212,up,down
12121212,up,left
12121212,up,left
11121212,up,left
11121212,right,up
11121212,right,up
11121212,right,right
11121212,down,right
12121212,down,down
12121212,down,down
12121212,left,left
12121212,left,left
12121212,left,up
12121212,up,up
12121212,up,up
12121212,right,right
12121212,right,right
12121212,down,right
12121212,down,down
12121212,left,down
12121212,left,down
12121212,up,left
12121212,up,left
12121212,up,left
11121212,up,up
11121212,right,up
11121212,right,right
11121212,right,right
11121212,down,down
12121212,down,down
12121212,down,left
12121212,left,left
12121212,left,up
12121212,left,up
12121212,up,up
12121212,up,right
12121212,right,right
12121212,right,right
12121212,down,down
12121212,down,down
12121212,left,down
12121212,left,left
12121212,up,left
12121212,up,left
12121212,up,up
11121212,up,up
11121212,right,right
11121212,right,right
11121212,right,down
11121212,down,down
12121212,down,left
12121212,down,left
12121212,left,up
12121212,left,up
12121212,left,up
12121212,up,right
12121212,up,right
12121212,right,right
12121212,right,down
12121212,down,down
12121212,down,down
12121212,left,left
12121212,left,left
12121212,up,left
12121212,up,up
12121212,up,up
11121212,up,right
11121212,right,right
11121212,right,down
11121212,right,down
11121212,down,left
12121212,down,left
12121212,down,up
12121212,left,up
12121212,left,up
12121212,left,right
12121212,up,right
12121212,up,right
12121212,right,down
12121212,right,down
12121212,down,down
12121212,down,left
12121212,left,left
12121212,left,left
12121212,up,up
12121212,up,up
12121212,up,right
11121212,up,right
11121212,right,down
11121212,right,down
11121212,right,left
11121212,down,left
12121212,down,up
12121212,down,up
12121212,left,up
12121212,left,right
12121212,left,right
12121212,up,right
12121212,up,down
12121212,right,down
12121212,right,down
12121212,down,left
12121212,down,left
12121212,left,left
12121212,left,up
12121212,up,up
12121212,up,right
12121212,up,right
11121212,up,down
11121212,right,down
11121212,right,left
11121212,right,left
11121212,down,up
12121212,down,up
12121212,down,up
12121212,left,right
12121212,left,right
12121212,left,right
12121212,up,down
12121212,up,down
12121212,right,down
12121212,right,left
12121212,down,left
12121212,down,left
12121212,left,up
12121212,left,up
12121212,up,right
12121212,up,right
12121212,up,down
11121212,up,down
11121212,right,left
11121212,right,left
11121212,right,up
11121212,down,up
12121212,down,up
12121212,down,right
12121212,left,right
12121212,left,right
12121212,left,down
12121212,up,down
12121212,up,down
12121212,right,left
12121212,right,left
12121212,down,left
12121212,down,up
12121212,left,up
12121212,left,right
12121212,up,right
12121212,up,down
12121212,up,down
11121212,up,left
11121212,right,left
11121212,right,up
11121212,right,up
11121212,down,up
12121212,down,right
12121212,down,right
12121212,left,right
12121212,left,down
12121212,left,down
12121212,up,down
12121212,up,left
12121212,right,left
12121212,right,left
12121212,down,up
12121212,down,up
12121212,left,right
12121212,left,right
12121212,up,down
12121212,up,down
12121212,up,left
11121212,up,left
11121212,right,up
11121212,right,up
11121212,right,up
11121212,down,right
12121212,down,right
12121212,down,right
12121212,left,down
12121212,left,down
12121212,left,down
12121212,up,left
12121212,up,left
12121212,right,left
12121212,right,up
12121212,down,up
12121212,down,right
12121212,left,right
12121212,left,down
12121212,up,down
12121212,up,left
12121212,up,left
11121212,up,up
11121212,right,up
11121212,right,up
11121212,right,right
11121212,down,right
12121212,down,right
12121212,down,down
12121212,left,down
12121212,left,down
12121212,left,left
12121212,up,left
12121212,up,left
12121212,right,up
12121212,right,up
12121212,down,right
12121212,down,right
12121212,left,down
12121212,left,down
12121212,up,left
12121212,up,left
12121212,up,up
11121212,up,up
11121212,right,up
11121212,right,right
11121212,right,right
11121212,down,right
12121212,down,down
12121212,down,down
12121212,left,down
12121212,left,left
12121212,left,left
12121212,up,left
12121212,up,up
12121212,right,up
12121212,right,right
12121212,down,right
12121212,down,down
12121212,left,down
12121212,left,left
12121212,up,left
12121212,up,up
12121212,up,up
11121212,up,up
11121212,right,right
11121212,right,right
11121212,right,right
11121212,down,down
12121212,down,down
12121212,down,down
12121212,left,left
12121212,left,left
12121212,left,left
12121212,up,up
12121212,up,up
12121212,right,right
12121212,right,right
12121212,down,down
12121212,down,down
12121212,left,left
12121212,left,left
12121212,up,up
12121212,up,up
12121212,up,up
11121212,up,right
11121212,right,right
11121212,right,right
11121212,right,down
11121212,down,down
12121212,down,down
12121212,down,left
12121212,left,left
12121212,left,left
12121212,left,up
12121212,up,up
12121212,up,right
12121212,right,right
12121212,right,down
12121212,down,down
12121212,down,left
12121212,left,left
12121212,left,up
12121212,up,up
12121212,up,up
12121212,up,right
11121212,up,right
11121212,right,right
11121212,right,down
11121212,right,down
11121212,down,down
12121212,down,left
12121212,down,left
12121212,left,left
12121212,left,up
12121212,left,up
12121212,up,right
12121212,up,right
12121212,right,down
12121212,right,down
12121212,down,left
12121212,down,left
12121212,left,up
12121212,left,up
12121212,up,up
12121212,up,right
12121212,up,right
11121212,up,right
11121212,right,down
11121212,right,down
11121212,right,down
11121212,down,left
12121212,down,left
12121212,down,left
12121212,left,up
12121212,left,up
12121212,left,right
12121212,up,right
12121212,up,down
12121212,right,down
12121212,right,left
12121212,down,left
12121212,down,up
12121212,left,up
12121212,left,up
12121212,up,right
12121212,up,right
12121212,up,right
11121212,up,down
11121212,right,down
11121212,right,down
11121212,right,left
11121212,down,left
12121212,down,left
