state,action,supervisor_action
11121212,left,left
11121211,right,right
11121212,right,right
11121212,left,down
11121212,left,left
11121211,right,right
11121212,down,down
12121212,left,right
12121211,down,up
12121211,right,up
12111212,up,down
12121212,right,left
12121112,right,left
12121112,right,left
12121112,right,left
12121112,right,left
12121212,down,left
12121211,up,up
12121212,up,up
11121212,right,right
11121212,right,right
11121212,right,right
11111212,down,left
12111212,up,left
11111212,left,left
11121212,right,left
11111212,down,left
12111212,up,left
11111212,left,left
11121212,down,left
12121212,right,down
12111212,up,down
11111212,left,down
11121212,right,down
11111212,down,left
12111212,up,left
11111212,left,down
11121212,down,left
12121212,up,up
11121212,down,left
12121212,down,left
12121212,up,up
12121212,right,up
12111212,left,up
12121212,right,up
12111212,left,left
12121212,down,down
12121212,down,left
12121212,up,up
12121212,left,left
12121212,up,left
12121212,left,right
12121212,down,up
12121211,up,up
12121212,right,left
12121212,up,right
11121212,right,down
11121212,right,left
11111212,down,down
12111212,up,left
11111212,left,left
11121212,right,left
11111212,down,down
12111212,down,down
12111212,down,down
12111212,left,up
12121212,up,up
12121212,left,left
12121212,up,right
12121212,right,right
12121212,up,right
11121212,left,left
11121212,left,down
11121212,left,right
11121212,left,right
11121212,left,left
11121212,right,left
11121212,right,left
11121212,down,down
12121112,right,up
12121212,down,right
12121211,down,right
12121211,up,up
12121211,right,right
12121212,right,up
12121212,right,down
12111212,left,down
12121212,right,down
12111212,up,down
12111212,up,down
11111212,down,left
12111212,up,left
11111212,left,left
11121212,down,down
12121212,right,down
12111212,left,down
12121212,up,left
11121212,down,down
12121212,right,left
12111212,down,up
12111212,left,up
12121212,left,down
12121212,down,right
12121212,left,down
12121211,right,right
12121212,down,up
12121212,right,up
12121212,up,right
12121212,up,right
12121212,down,down
12121212,left,left
12121212,down,down
12121212,down,up
12121212,right,up
12121212,up,down
12121212,right,down
12111212,up,up
12111212,down,up
12111212,up,up
12111212,left,up
12121212,right,up
12111212,up,down
12111212,left,up
12121212,up,up
12121212,up,down
11121212,right,right
11111212,down,down
12111212,down,up
12111212,down,down
12111212,down,down
12111212,up,up
12111212,up,up
12111212,down,up
12111212,down,up
12111212,down,up
12111212,down,up
12111212,down,down
12111212,up,up
12111212,down,up
12111212,left,down
12121212,right,up
12111212,up,up
12111212,up,up
12111212,up,down
12111212,up,up
12111212,up,left
12111212,left,up
12121212,up,up
12121212,right,right
12111212,up,left
11111212,left,left
11121212,left,down
11121212,right,down
11121212,down,down
12121212,down,left
12121212,up,up
12121212,up,left
11121212,left,left
11121212,down,right
12121212,right,right
12121212,left,left
12121212,left,down
12121212,right,right
12121212,down,left
12121212,left,down
12121211,down,down
12121211,right,down
12121212,left,down
12121211,right,right
12121212,down,up
12121212,down,down
12121212,right,left
12121212,down,up
12121212,right,right
12111212,up,left
12111212,left,left
12121212,left,down
12121212,right,down
12121212,up,down
12121212,left,left
12121212,up,up
12121212,up,left
12121212,down,down
12121212,down,down
12121212,right,up
12121212,down,right
12121212,down,down
12121212,down,down
12121212,right,right
12111212,down,up
12111212,up,left
12111212,up,up
12111212,left,up
12121212,down,up
12121212,down,left
12121212,up,down
12121212,left,down
12121212,right,down
12121212,down,left
12121212,up,down
12121212,down,right
12121212,right,right
12111212,down,up
12111212,down,up
12111212,up,down
12111212,down,up
12111212,down,down
12111212,down,left
12111212,left,up
12121212,up,up
12121212,down,left
12121212,left,up
12121212,up,up
12121212,up,up
12121212,up,right
12121212,up,left
12121212,up,up
12121212,up,up
12121212,right,up
12121212,left,up
12121212,right,up
12121212,left,up
12121212,right,down
12121212,right,up
12111212,up,left
12111212,left,up
12121212,up,up
12121212,up,up
12121212,up,up
12121212,left,down
12121212,left,up
12121211,up,right
12121212,right,up
12121212,left,up
12121212,right,left
12121212,up,up
11121212,left,down
11121212,down,left
12121212,up,up
11121212,left,down
11121212,down,down
12121112,right,right
12121212,up,right
11121212,right,left
11121212,right,left
11121212,right,down
11111212,down,left
12111212,up,up
11111212,down,down
12111212,up,up
11111212,down,down
12111212,up,down
11111212,down,down
12111212,left,down
12121212,left,up
12121212,up,right
11121212,left,left
11121212,down,down
12121212,down,right
12121211,right,up
12121212,down,right
12121212,down,down
12121212,up,left
12121212,left,left
12121211,right,right
12121212,right,down
12121212,down,left
12121212,up,left
12121212,up,left
12121212,left,left
12121212,up,right
12121212,up,up
11121212,left,down
11121212,down,left
12121212,down,down
12121211,right,right
12121212,right,left
12121212,left,down
12121212,left,down
12121211,right,right
12121212,up,right
12121212,right,down
12121212,right,right
12111212,down,left
12111212,left,down
12121212,right,right
12111212,left,down
12121212,right,down
12111212,down,left
12111212,up,left
12111212,up,up
12111212,left,up
12121212,left,left
12121212,left,down
12121212,right,right
12121212,down,right
12121212,left,left
12121211,up,down
12121212,left,left
12121112,up,up
11121212,left,down
11121212,left,left
11121212,down,right
12121112,up,left
11121212,left,down
11121212,left,left
11121212,down,right
12121212,right,right
12121112,right,right
12121112,up,right
11121212,left,down
11121212,down,down
12121112,up,right
11121212,left,right
11121212,left,left
11121211,down,down
12121211,down,down
12121211,down,down
12121211,down,right
12121211,up,up
12121211,up,up
12121211,up,right
12121211,up,right
11121211,right,down
11121212,left,down
11121211,down,down
12121211,up,right
11121211,down,down
12121211,up,right
11121211,right,right
11121212,down,down
12121212,left,up
12121211,up,up
11121211,right,down
11121212,right,right
11121212,left,left
11121212,down,right
12121212,right,down
12121112,right,up
12121112,left,left
12121112,left,right
12121212,down,left
12111212,down,left
12111212,left,up
12121211,up,up
12121211,up,up
12121211,up,up
11121211,right,down
11121212,left,left
11121211,down,down
12121211,down,up
12121211,up,up
12121211,right,down
12121212,right,right
12121112,up,up
11121212,right,right
11121212,down,down
12121112,left,left
12121112,right,left
12121112,up,right
11121212,down,down
12121112,up,up
11121212,right,down
11121212,down,down
12121112,right,left
12121112,left,left
12121112,right,left
12121112,right,left
12121212,right,down
12121212,down,down
12121212,right,down
12121212,down,left
12121212,left,up
12121212,left,up
12121211,down,up
12121211,up,up
12121211,down,up
12121211,down,up
12121211,up,up
12121211,down,down
12121211,right,down
12121212,down,down
12121212,up,right
12121212,down,down
12121212,down,right
12121212,down,right
12121212,right,left
12121212,down,right
12121212,right,down
12111212,up,up
12111212,up,up
12111212,down,up
12111212,down,up
12111212,up,up
12111212,down,left
12111212,down,up
12111212,down,down
12111212,left,down
12121212,down,left
12121212,down,down
12121112,left,up
12121112,up,left
12121212,down,down
12121112,left,right
12121112,up,left
12121212,up,up
12121212,right,up
12121212,left,left
12121212,down,down
12121212,down,down
12121112,up,left
12121212,up,up
12121212,up,up
12121212,right,up
12121212,up,left
12121212,left,up
12121212,up,left
12121212,left,down
12121212,left,left
12121212,left,up
12121212,right,left
12121212,left,down
12121212,down,up
12121212,left,up
12121212,up,right
12121212,up,left
12121212,up,right
11121212,down,down
12121212,right,right
12121212,up,up
11121212,left,down
11121212,down,down
12121212,down,down
12121212,down,left
12121212,right,down
12121212,left,left
12121212,up,up
12121212,left,up
12121212,left,down
12121211,down,up
12121211,right,down
12121212,down,up
12121212,down,left
12121212,right,left
12121212,down,down
12121212,left,up
12121212,left,down
12121211,down,right
12121111,right,up
12121112,right,left
12121112,up,right
12121212,right,right
12121212,right,down
12121212,left,up
12121212,up,up
12121212,right,right
12121212,up,right
12121212,right,right
12121212,up,left
12121212,down,down
12121212,up,down
12121212,left,down
12121212,left,left
12121212,down,right
12121212,down,down
12121212,up,right
12121212,up,right
12121212,up,right
12121212,right,down
12121212,down,down
12121212,down,down
12121212,right,left
12121212,down,right
12121212,down,left
12121212,down,right
12121112,left,left
12121112,up,up
12121212,left,right
12121212,left,down
12121212,down,down
12121112,up,left
12121212,up,up
12121212,up,up
12121212,left,down
12121212,left,up
12121211,up,up
12121211,down,up
12121211,down,down
12121211,up,up
12121211,up,down
12121211,down,up
12121211,down,up
12121211,up,down
12121211,up,down
12121211,down,up
12121211,down,up
12121211,up,down
12121211,down,right
12121211,right,up
12121212,right,right
12121212,up,up
12121212,up,right
12121212,up,right
12121212,up,down
12121212,down,left
12121212,right,right
12121212,down,right
12121212,right,down
12121212,down,up
12121212,down,right
12121212,right,down
12121212,down,right
12121212,right,right
12121212,right,right
12121212,right,up
12121212,up,up
12121212,right,up
12111212,down,up
12111212,down,up
12111112,up,left
12111212,down,down
12111112,up,up
12111212,down,down
12111112,left,left
12121112,right,left
12111112,left,left
12121112,right,right
12111112,left,left
12121112,up,right
12121212,down,down
12121112,right,right
12111112,up,up
12111212,down,up
12111112,up,left
12111212,down,down
12111112,up,up
12111212,down,up
12111112,up,up
12111212,up,left
12111212,up,left
12111212,up,up
12111212,left,left
12121212,up,up
12121212,left,up
12121212,left,left
12121212,up,left
12121212,left,left
12121212,up,down
11121212,left,down
11121212,right,left
11121212,right,right
12121212,right,down
12121212,left,down
12121212,left,up
11121212,down,down
12121212,up,down
11121212,down,down
12121212,left,up
12121212,up,right
11121212,left,down
11121212,down,right
12121212,up,up
11121212,left,left
11121212,left,right
12121212,right,left
11121212,right,left
11121212,left,left
11121212,left,left
12121212,up,left
12111212,up,up
12111212,down,up
12111212,up,left
12111212,up,up
12111212,up,up
12111212,up,up
12121212,up,up
11121212,down,left
12121212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,up
12121212,right,down
11121212,right,right
11121212,left,right
11121212,down,right
12121212,left,up
12121212,up,right
12121212,down,up
12121212,right,left
12121212,down,right
12121212,down,left
12121212,up,up
12121212,up,up
12121212,up,up
11121212,left,down
12121212,left,left
12121211,down,up
12121211,up,right
12121211,up,up
12121211,up,down
12121211,right,right
12111212,up,left
12111212,left,down
12121211,down,right
12121211,right,right
12111212,down,up
12111212,up,left
12111212,up,up
12111212,up,left
12111212,left,down
12121211,right,up
12111212,up,up
12121212,up,up
11121212,left,down
11121211,down,down
12121211,right,right
12121212,up,up
11121212,left,right
11121211,right,down
11121212,down,down
12121212,down,down
12111212,up,up
12121212,right,up
12121112,up,up
11121212,right,left
11121212,down,right
12121112,left,right
12121112,left,right
12121212,down,down
12111212,down,up
12111212,up,up
12111212,up,left
12121212,up,right
11121212,right,left
11121212,down,down
12121112,right,right
12121112,left,up
12121112,up,right
11121212,down,right
12121112,up,up
11121212,right,left
11121212,left,left
11121212,left,left
11121212,left,down
11121211,right,down
11121212,left,left
11121211,right,down
11121212,left,left
11121211,right,right
11121212,right,right
11121212,down,right
12121112,up,right
11121212,down,left
12121112,left,right
12121212,down,down
12111212,down,down
12111212,down,left
12111212,up,up
12111212,down,left
12111212,down,left
12111212,down,up
12121212,down,right
12121212,up,up
12121212,up,up
12111212,up,left
12111212,left,left
12121211,right,up
12111212,up,up
12111212,left,up
12121211,up,right
12121211,down,up
12121211,up,up
12121211,up,up
12121211,up,up
11121211,right,right
11121212,down,left
12121212,left,left
12121211,up,up
11121211,right,right
11121212,right,right
11121212,left,right
11121212,down,left
12121212,down,down
12111212,left,up
12121211,up,right
12121211,down,right
12121211,down,down
12121211,up,down
12121211,up,up
12121211,down,down
12121211,up,right
12121211,up,up
11121211,right,down
11121212,down,left
12121212,down,right
12111212,down,left
12111212,up,down
12111212,left,down
12121211,right,right
12111212,up,up
12121212,right,right
12121112,left,up
12121212,up,up
11121212,right,down
11121212,left,down
11121212,down,left
12121212,down,right
12111212,up,down
12121212,right,down
12121112,left,right
12121212,left,down
12121211,up,right
11121211,down,down
12121211,up,down
